kanji,kana,level
偶に,たまに,n1
堪らない,たまらない,n1
溜まり,たまり,n1
賜る,たまわる,n1
例,ためし,n1
躊躇う,ためらう,n1
保つ,たもつ,n1
容易い,たやすい,n1
多様,たよう,n1
弛み,たるみ,n1
弛む,たるむ,n1
誰,たれ,n1
垂れる,たれる,n1
歎,たん,n1
反,たん,n1
単一,たんいつ,n1
短歌,たんか,n1
担架,たんか,n1
短気,たんき,n1
探検,たんけん,n1
短縮,たんしゅく,n1
箪笥,たんす,n1
炭素,たんそ,n1
短大,たんだい,n1
単調,たんちょう,n1
単独,たんどく,n1
短波,たんぱ,n1
蛋白質,たんぱくしつ,n1
第,だい,n1
第一,だいいち,n1
大胆,だいたん,n1
台無し,だいなし,n1
大便,だいべん,n1
代弁,だいべん,n1
台本,だいほん,n1
代用,だいよう,n1
打開,だかい,n1
妥協,だきょう,n1
丈,だけ,n1
妥結,だけつ,n1
打撃,だげき,n1
駄作,ださく,n1
脱出,だっしゅつ,n1
脱する,だっする,n1
脱退,だったい,n1
だぶだぶ,だぶだぶ,n1
騙す,だます,n1
だらけ,だらけ,n1
怠い,だるい,n1
壇,だん,n1
団結,だんけつ,n1
断言,だんげん,n1
断然,だんぜん,n1
段々,だんだん,n1
旦那,だんな,n1
断面,だんめん,n1
弾力,だんりょく,n1
治安,ちあん,n1
近付く,ちかづく,n1
違える,ちがえる,n1
契る,ちぎる,n1
畜産,ちくさん,n1
畜生,ちくしょう,n1
蓄積,ちくせき,n1
知性,ちせい,n1
乳,ちち,n1
父母,ちちはは,n1
縮まる,ちぢまる,n1
窒息,ちっそく,n1
些とも,ちっとも,n1
秩序,ちつじょ,n1
知的,ちてき,n1
著,ちゃく,n1
着,ちゃく,n1
着手,ちゃくしゅ,n1
着色,ちゃくしょく,n1
着席,ちゃくせき,n1
着目,ちゃくもく,n1
着陸,ちゃくりく,n1
着工,ちゃっこう,n1
茶の間,ちゃのま,n1
茶の湯,ちゃのゆ,n1
ちやほや,ちやほや,n1
昼間,ちゅうかん,n1
宙返り,ちゅうがえり,n1
中継,ちゅうけい,n1
忠告,ちゅうこく,n1
中指,ちゅうし,n1
中傷,ちゅうしょう,n1
忠実,ちゅうじつ,n1
中枢,ちゅうすう,n1
抽選,ちゅうせん,n1
中断,ちゅうだん,n1
中腹,ちゅうっぱら,n1
中毒,ちゅうどく,n1
仲人,ちゅうにん,n1
昼飯,ちゅうはん,n1
中立,ちゅうりつ,n1
中和,ちゅうわ,n1
腸,ちょう,n1
蝶,ちょう,n1
超,ちょう,n1
庁,ちょう,n1
調印,ちょういん,n1
聴覚,ちょうかく,n1
長官,ちょうかん,n1
聴講,ちょうこう,n1
徴収,ちょうしゅう,n1
聴診器,ちょうしんき,n1
挑戦,ちょうせん,n1
長大,ちょうだい,n1
調停,ちょうてい,n1
恰度,ちょうど,n1
長編,ちょうへん,n1
丁目,ちょうめ,n1
調理,ちょうり,n1
調和,ちょうわ,n1
ちょくちょく,ちょくちょく,n1
直面,ちょくめん,n1
著書,ちょしょ,n1
貯蓄,ちょちく,n1
直感,ちょっかん,n1
一寸,ちょっと,n1
著名,ちょめい,n1
ちらっと,ちらっと,n1
塵取り,ちりとり,n1
治療,ちりょう,n1
賃金,ちんぎん,n1
沈殿,ちんでん,n1
沈没,ちんぼつ,n1
沈黙,ちんもく,n1
陳列,ちんれつ,n1
追及,ついきゅう,n1
追跡,ついせき,n1
次いで,ついで,n1
追放,ついほう,n1
費やす,ついやす,n1
墜落,ついらく,n1
通,つう,n1
痛感,つうかん,n1
通常,つうじょう,n1
痛切,つうせつ,n1
杖,つえ,n1
遣い,つかい,n1
使い道,つかいみち,n1
仕える,つかえる,n1
司る,つかさどる,n1
束の間,つかのま,n1
付き,つき,n1
付き合う,つきあう,n1
月並み,つきなみ,n1
尽きる,つきる,n1
継ぎ目,つぎめ,n1
吐く,つく,n1
尽くす,つくす,n1
作り,つくり,n1
造り,つくり,n1
造る,つくる,n1
繕う,つくろう,n1
接ぐ,つぐ,n1
継ぐ,つぐ,n1
付け加える,つけくわえる,n1
告げる,つげる,n1
辻褄,つじつま,n1
途中,つちゅう,n1
突っ張る,つっぱる,n1
筒,つつ,n1
銃,つつ,n1
突く,つつく,n1
慎む,つつしむ,n1
伝言,つてごと,n1
勤まる,つとまる,n1
勤め先,つとめさき,n1
努めて,つとめて,n1
津波,つなみ,n1
抓る,つねる,n1
募る,つのる,n1
唾,つば,n1
呟く,つぶやく,n1
瞑る,つぶる,n1
壷,つぼ,n1
蕾,つぼみ,n1
躓く,つまずく,n1
摘む,つまむ,n1
詰らない,つまらない,n1
詰まり,つまり,n1
積もり,つもり,n1
露,つゆ,n1
強まる,つよまる,n1
強める,つよめる,n1
連なる,つらなる,n1
貫く,つらぬく,n1
連ねる,つらねる,n1
釣り,つり,n1
吊り革,つりかわ,n1
釣鐘,つりがね,n1
吊るす,つるす,n1
手当て,てあて,n1
体,てい,n1
提供,ていきょう,n1
定義,ていぎ,n1
提携,ていけい,n1
体裁,ていさい,n1
梯子,ていし,n1
定食,ていしょく,n1
提示,ていじ,n1
訂正,ていせい,n1
停滞,ていたい,n1
邸宅,ていたく,n1
定年,ていねん,n1
堤防,ていぼう,n1
手遅れ,ておくれ,n1
手数,てかず,n1
手掛かり,てがかり,n1
手掛ける,てがける,n1
手軽,てがる,n1
的,てき,n1
適応,てきおう,n1
適宜,てきぎ,n1
適性,てきせい,n1
手際,てぎわ,n1
手順,てじゅん,n1
手錠,てじょう,n1
手近,てぢか,n1
てっきり,てっきり,n1
鉄鋼,てっこう,n1
徹する,てっする,n1
鉄片,てっぺん,n1
手配,てはい,n1
手筈,てはず,n1
手引き,てびき,n1
手本,てほん,n1
手回し,てまわし,n1
手元,てもと,n1
照り返す,てりかえす,n1
手分け,てわけ,n1
店,てん,n1
点火,てんか,n1
転回,てんかい,n1
転換,てんかん,n1
転居,てんきょ,n1
転勤,てんきん,n1
点検,てんけん,n1
転校,てんこう,n1
天国,てんごく,n1
天才,てんさい,n1
天災,てんさい,n1
展示,てんじ,n1
天井,てんじょう,n1
転じる,てんじる,n1
点線,てんせん,n1
天体,てんたい,n1
転転,てんてん,n1
てんで,てんで,n1
転任,てんにん,n1
展望,てんぼう,n1
転落,てんらく,n1
出合う,であう,n1
出入り口,でいりぐち,n1
でかい,でかい,n1
出来物,できもの,n1
出切る,できる,n1
出くわす,でくわす,n1
出鱈目,でたらめ,n1
出直し,でなおし,n1
田園,でんえん,n1
電源,でんげん,n1
伝説,でんせつ,n1
電線,でんせん,n1
伝達,でんたつ,n1
伝来,でんらい,n1
と,と,n1
問い合わせる,といあわせる,n1
問屋,といや,n1
問う,とう,n1
棟,とう,n1
等,とう,n1
陶器,とうき,n1
等級,とうきゅう,n1
討議,とうぎ,n1
登校,とうこう,n1
統合,とうごう,n1
倒産,とうさん,n1
投資,とうし,n1
統治,とうじ,n1
統制,とうせい,n1
当選,とうせん,n1
逃走,とうそう,n1
統率,とうそつ,n1
到達,とうたつ,n1
到底,とうてい,n1
丁々,とうとう,n1
投入,とうにゅう,n1
当人,とうにん,n1
逃亡,とうぼう,n1
冬眠,とうみん,n1
登録,とうろく,n1
討論,とうろん,n1
遠ざかる,とおざかる,n1
遠回り,とおまわり,n1
通りかかる,とおりかかる,n1
兎角,とかく,n1
咎める,とがめる,n1
時折,ときおり,n1
跡切れる,とぎれる,n1
説く,とく,n1
特技,とくぎ,n1
特産,とくさん,n1
特集,とくしゅう,n1
得点,とくてん,n1
特派,とくは,n1
特有,とくゆう,n1
研ぐ,とぐ,n1
刺,とげ,n1
遂げる,とげる,n1
床,とこ,n1
所が,ところが,n1
所で,ところで,n1
年頃,としごろ,n1
年寄り,としより,n1
戸締り,とじまり,n1
途上,とじょう,n1
綴じる,とじる,n1
途絶える,とだえる,n1
特許,とっきょ,n1
疾っくに,とっくに,n1
特権,とっけん,n1
咄嗟,とっさ,n1
取っ手,とって,n1
突破,とっぱ,n1
突如,とつじょ,n1
迚も,とても,n1
整える,ととのえる,n1
届け,とどけ,n1
滞る,とどこおる,n1
止まる,とどまる,n1
留める,とどめる,n1
止める,とどめる,n1
唱える,となえる,n1
兎に角,とにかく,n1
殿様,とのさま,n1
幕,とばり,n1
帳,とばり,n1
扉,とびら,n1
徒歩,とほ,n1
乏しい,とぼしい,n1
富,とみ,n1
富む,とむ,n1
兎も角,ともかく,n1
共稼ぎ,ともかせぎ,n1
灯,ともしび,n1
伴う,ともなう,n1
共働き,ともばたらき,n1
捕らえる,とらえる,n1
取りあえず,とりあえず,n1
取り扱い,とりあつかい,n1
取り扱う,とりあつかう,n1
鳥居,とりい,n1
取り替え,とりかえ,n1
取り組む,とりくむ,n1
取り締まり,とりしまり,n1
取り締まる,とりしまる,n1
取り調べる,とりしらべる,n1
取り立てる,とりたてる,n1
取り次ぐ,とりつぐ,n1
取り除く,とりのぞく,n1
取り引き,とりひき,n1
取り巻く,とりまく,n1
取り混ぜる,とりまぜる,n1
取り戻す,とりもどす,n1
取り寄せる,とりよせる,n1
取り分,とりわけ,n1
副,とりわけ,n1
蕩ける,とろける,n1
とんだ,とんだ,n1
胴,どう,n1
働,どう,n1
同,どう,n1
同意,どうい,n1
動員,どういん,n1
同感,どうかん,n1
動機,どうき,n1
同級,どうきゅう,n1
同居,どうきょ,n1
動向,どうこう,n1
同士,どうし,n1
同志,どうし,n1
如何して,どうして,n1
如何しても,どうしても,n1
同情,どうじょう,n1
道場,どうじょう,n1
何卒,どうぞ,n1
どうぞ宜しく,どうぞよろしく,n1
同調,どうちょう,n1
動的,どうてき,n1
同等,どうとう,n1
堂々,どうどう,n1
どうにか,どうにか,n1
導入,どうにゅう,n1
同封,どうふう,n1
同盟,どうめい,n1
どうやら,どうやら,n1
動揺,どうよう,n1
動力,どうりょく,n1
独裁,どくさい,n1
読者,どくしゃ,n1
独自,どくじ,n1
独占,どくせん,n1
独創,どくそう,n1
何処,どこ,n1
何処か,どこか,n1
土産,どさん,n1
土台,どだい,n1
何方,どちら,n1
土手,どて,n1
何方,どなた,n1
怒鳴る,どなる,n1
何の,どの,n1
土俵,どひょう,n1
土木,どぼく,n1
何れ,どれ,n1
何々,どれどれ,n1
度忘れ,どわすれ,n1
鈍感,どんかん,n1
内閣,ないかく,n1
乃至,ないし,n1
内臓,ないぞう,n1
内部,ないぶ,n1
内乱,ないらん,n1
内陸,ないりく,n1
苗,なえ,n1
尚,なお,n1
尚更,なおさら,n1
中程,なかほど,n1
流し,ながし,n1
長々,ながなが,n1
殴る,なぐる,n1
嘆く,なげく,n1
投げ出す,なげだす,n1
和やか,なごやか,n1
名残,なごり,n1
情け,なさけ,n1
情け深い,なさけぶかい,n1
為さる,なさる,n1
詰る,なじる,n1
何故,なぜ,n1
何故なら,なぜなら,n1
名高い,なだかい,n1
雪崩,なだれ,n1
懐く,なつく,n1
名付ける,なづける,n1
何気ない,なにげない,n1
何しろ,なにしろ,n1
何卒,なにとぞ,n1
何も,なにも,n1
何より,なにより,n1
七日,なぬか,n1
名札,なふだ,n1
生臭い,なまぐさい,n1
生温い,なまぬるい,n1
生身,なまみ,n1
鉛,なまり,n1
鈍る,なまる,n1
並み,なみ,n1
滑らか,なめらか,n1
嘗める,なめる,n1
悩ましい,なやましい,n1
悩ます,なやます,n1
悩み,なやみ,n1
平均,ならし,n1
慣らす,ならす,n1
馴らす,ならす,n1
並びに,ならびに,n1
成り立つ,なりたつ,n1
成る丈,なるたけ,n1
成るべく,なるべく,n1
慣れ,なれ,n1
馴れ馴れしい,なれなれしい,n1
難,なん,n1
南,なん,n1
なんか,なんか,n1
何だか,なんだか,n1
なんだかんだ,なんだかんだ,n1
何て,なんて,n1
何と,なんと,n1
何となく,なんとなく,n1
何とも,なんとも,n1
何なり,なんなり,n1
荷,に,n1
似通う,にかよう,n1
面皰,にきび,n1
賑わう,にぎわう,n1
悪い,にくい,n1
憎しみ,にくしみ,n1
肉親,にくしん,n1
肉体,にくたい,n1
逃げ出す,にげだす,n1
西日,にしび,n1
滲む,にじむ,n1
日夜,にちや,n1
日当,にっとう,n1
荷造り,にづくり,n1
担う,になう,n1
二人,ににん,n1
にも拘らず,にもかかわらず,n1
入手,にゅうしゅ,n1
入賞,にゅうしょう,n1
入浴,にゅうよく,n1
尿,にょう,n1
俄か,にわか,n1
認識,にんしき,n1
妊娠,にんしん,n1
人情,にんじょう,n1
任務,にんむ,n1
任命,にんめい,n1
抜かす,ぬかす,n1
抜け出す,ぬけだす,n1
盗み,ぬすみ,n1
沼,ぬま,n1
音,ね,n1
値打ち,ねうち,n1
寝かせる,ねかせる,n1
捻子,ねじ,n1
ねじ回し,ねじまわし,n1
捻じれる,ねじれる,n1
鼠,ねず,n1
妬む,ねたむ,n1
強請る,ねだる,n1
熱湯,ねっとう,n1
熱意,ねつい,n1
熱量,ねつりょう,n1
粘り,ねばり,n1
粘る,ねばる,n1
値引き,ねびき,n1
根回し,ねまわし,n1
眠たい,ねむたい,n1
練る,ねる,n1
念,ねん,n1
年鑑,ねんかん,n1
年号,ねんごう,n1
燃焼,ねんしょう,n1
年生,ねんせい,n1
年長,ねんちょう,n1
燃料,ねんりょう,n1
年輪,ねんりん,n1
脳,のう,n1
農耕,のうこう,n1
農場,のうじょう,n1
農地,のうち,n1
納入,のうにゅう,n1
逃す,のがす,n1
逃れる,のがれる,n1
軒並み,のきなみ,n1
鋸,のこぎり,n1
望ましい,のぞましい,n1
臨む,のぞむ,n1
乗っ取る,のっとる,n1
長閑,のどか,n1
罵る,ののしる,n1
延べ,のべ,n1
飲み込む,のみこむ,n1
乗り換え,のりかえ,n1
乗り込む,のりこむ,n1
刃,は,n1
派,は,n1
把握,はあく,n1
肺,はい,n1
廃棄,はいき,n1
配給,はいきゅう,n1
配偶者,はいぐうしゃ,n1
拝啓,はいけい,n1
背景,はいけい,n1
背後,はいご,n1
灰皿,はいさら,n1
廃止,はいし,n1
拝借,はいしゃく,n1
排除,はいじょ,n1
排水,はいすい,n1
敗戦,はいせん,n1
配置,はいち,n1
配布,はいふ,n1
配分,はいぶん,n1
配慮,はいりょ,n1
配列,はいれつ,n1
映える,はえる,n1
破壊,はかい,n1
墓地,はかち,n1
捗る,はかどる,n1
果ない,はかない,n1
諮る,はかる,n1
図る,はかる,n1
剥がす,はがす,n1
破棄,はき,n1
泊,はく,n1
迫害,はくがい,n1
薄弱,はくじゃく,n1
白状,はくじょう,n1
剥ぐ,はぐ,n1
派遣,はけん,n1
励ます,はげます,n1
励む,はげむ,n1
剥げる,はげる,n1
鋏,はさみ,n1
柱,はしら,n1
橋渡し,はしわたし,n1
恥,はじ,n1
弾く,はじく,n1
始め,はじめ,n1
始めまして,はじめまして,n1
恥じらう,はじらう,n1
恥じる,はじる,n1
蓮,はす,n1
筈,はず,n1
弾む,はずむ,n1
破損,はそん,n1
機,はた,n1
果たして,はたして,n1
果たす,はたす,n1
裸足,はだし,n1
蜂蜜,はちみつ,n1
発掘,はっくつ,n1
発生,はっせい,n1
発足,はっそく,n1
初,はつ,n1
発,はつ,n1
発育,はついく,n1
発芽,はつが,n1
発言,はつげん,n1
発病,はつびょう,n1
初耳,はつみみ,n1
果て,はて,n1
果てる,はてる,n1
話し合い,はなしあい,n1
甚だ,はなはだ,n1
華々しい,はなばなしい,n1
花びら,はなびら,n1
華やか,はなやか,n1
阻む,はばむ,n1
浜,はま,n1
浜辺,はまべ,n1
填まる,はまる,n1
歯磨,はみがき,n1
填める,はめる,n1
生やす,はやす,n1
早める,はやめる,n1
流行,はやり,n1
腹立ち,はらだち,n1
原っぱ,はらっぱ,n1
張り紙,はりがみ,n1
遥か,はるか,n1
破裂,はれつ,n1
腫れる,はれる,n1
班,はん,n1
判,はん,n1
版,はん,n1
繁栄,はんえい,n1
反感,はんかん,n1
版画,はんが,n1
反響,はんきょう,n1
判決,はんけつ,n1
反撃,はんげき,n1
反射,はんしゃ,n1
繁殖,はんしょく,n1
繁盛,はんじょう,n1
反する,はんする,n1
判定,はんてい,n1
反応,はんのう,n1
半端,はんぱ,n1
反発,はんぱつ,n1
反乱,はんらん,n1
氾濫,はんらん,n1
黴菌,ばいきん,n1
賠償,ばいしょう,n1
倍率,ばいりつ,n1
馬鹿馬鹿しい,ばかばかしい,n1
馬鹿らしい,ばからしい,n1
漠然,ばくぜん,n1
爆弾,ばくだん,n1
爆破,ばくは,n1
暴露,ばくろ,n1
化ける,ばける,n1
罰,ばち,n1
伐,ばつ,n1
ばてる,ばてる,n1
発条,ばね,n1
散蒔く,ばらまく,n1
判,ばん,n1
万,ばん,n1
万人,ばんじん,n1
万能,ばんのう,n1
番目,ばんめ,n1
非,ひ,n1
費,ひ,n1
延いては,ひいては,n1
控室,ひかえしつ,n1
控える,ひかえる,n1
悲観,ひかん,n1
匹,ひき,n1
引き上げる,ひきあげる,n1
率いる,ひきいる,n1
引き受ける,ひきうける,n1
引き起こす,ひきおこす,n1
引き下げる,ひきさげる,n1
引きずる,ひきずる,n1
引き取る,ひきとる,n1
引き分け,ひきわけ,n1
否決,ひけつ,n1
非行,ひこう,n1
日頃,ひごろ,n1
久しい,ひさしい,n1
久し振り,ひさしぶり,n1
悲惨,ひさん,n1
秘書,ひしょ,n1
比重,ひじゅう,n1
密か,ひそか,n1
浸す,ひたす,n1
一向,ひたすら,n1
左利き,ひだりきき,n1
引っ掻く,ひっかく,n1
引っ掛ける,ひっかける,n1
必修,ひっしゅう,n1
匹敵,ひってき,n1
未,ひつじ,n1
必然,ひつぜん,n1
一息,ひといき,n1
単,ひとえ,n1
人柄,ひとがら,n1
一頃,ひところ,n1
人質,ひとじち,n1
一筋,ひとすき,n1
一まず,ひとまず,n1
一人でに,ひとりでに,n1
酷い,ひどい,n1
日取り,ひどり,n1
雛,ひな,n1
日向,ひなた,n1
非難,ひなん,n1
避難,ひなん,n1
日の丸,ひのまる,n1
火花,ひばな,n1
日々,ひび,n1
悲鳴,ひめい,n1
百科事典,ひゃっかじてん,n1
百科辞典,ひゃっかじてん,n1
冷やかす,ひやかす,n1
日焼け,ひやけ,n1
票,ひょう,n1
標語,ひょうご,n1
ひょっと,ひょっと,n1
平たい,ひらたい,n1
比率,ひりつ,n1
肥料,ひりょう,n1
比例,ひれい,n1
疲労,ひろう,n1
広まる,ひろまる,n1
貧困,ひんこん,n1
品質,ひんしつ,n1
品種,ひんしゅ,n1
貧弱,ひんじゃく,n1
頻繁,ひんぱん,n1
美,び,n1
微笑,びしょう,n1
美術,びじゅつ,n1
吃驚,びっくり,n1
びっしょり,びっしょり,n1
描写,びょうしゃ,n1
びり,びり,n1
微量,びりょう,n1
敏感,びんかん,n1
貧乏,びんぼう,n1
歩,ふ,n1
不意,ふい,n1
封,ふう,n1
封鎖,ふうさ,n1
風習,ふうしゅう,n1
風俗,ふうぞく,n1
風土,ふうど,n1
不可欠,ふかけつ,n1
深める,ふかめる,n1
不吉,ふきつ,n1
不況,ふきょう,n1
布巾,ふきん,n1
福,ふく,n1
復旧,ふくきゅう,n1
複合,ふくごう,n1
福祉,ふくし,n1
覆面,ふくめん,n1
膨れる,ふくれる,n1
不景気,ふけいき,n1
老ける,ふける,n1
布告,ふこく,n1
富豪,ふごう,n1
負債,ふさい,n1
相応しい,ふさわしい,n1
不在,ふざい,n1
不山戯る,ふざける,n1
負傷,ふしょう,n1
不審,ふしん,n1
不振,ふしん,n1
不順,ふじゅん,n1
付属,ふぞく,n1
負担,ふたん,n1
不調,ふちょう,n1
復活,ふっかつ,n1
復興,ふっこう,n1
沸騰,ふっとう,n1
仏,ふつ,n1
不図,ふと,n1
不当,ふとう,n1
不動産,ふどうさん,n1
赴任,ふにん,n1
腐敗,ふはい,n1
不評,ふひょう,n1
不便,ふびん,n1
不服,ふふく,n1
普遍,ふへん,n1
踏まえる,ふまえる,n1
文,ふみ,n1
不明,ふめい,n1
扶養,ふよう,n1
振り,ふり,n1
振り出し,ふりだし,n1
不良,ふりょう,n1
浮力,ふりょく,n1
震わせる,ふるわせる,n1
付録,ふろく,n1
分,ふん,n1
憤慨,ふんがい,n1
紛失,ふんしつ,n1
噴出,ふんしゅつ,n1
紛争,ふんそう,n1
ふんだん,ふんだん,n1
奮闘,ふんとう,n1
粉末,ふんまつ,n1
部,ぶ,n1
部下,ぶか,n1
ぶかぶか,ぶかぶか,n1
侮辱,ぶじょく,n1
武装,ぶそう,n1
斑,ぶち,n1
物資,ぶっし,n1
物体,ぶったい,n1
物議,ぶつぎ,n1
打付ける,ぶつける,n1
仏像,ぶつぞう,n1
無難,ぶなん,n1
部門,ぶもん,n1
ぶら下げる,ぶらさげる,n1
ぶらぶら,ぶらぶら,n1
武力,ぶりょく,n1
無礼,ぶれい,n1
文化財,ぶんかざい,n1
分業,ぶんぎょう,n1
文語,ぶんご,n1
分散,ぶんさん,n1
分子,ぶんし,n1
文書,ぶんしょ,n1
分担,ぶんたん,n1
分配,ぶんぱい,n1
分母,ぶんぼ,n1
分離,ぶんり,n1
分裂,ぶんれつ,n1
兵器,へいき,n1
閉口,へいこう,n1
平行,へいこう,n1
閉鎖,へいさ,n1
兵士,へいし,n1
平常,へいじょう,n1
平方,へいほう,n1
並列,へいれつ,n1
辟易,へきえき,n1
臍,へそ,n1
隔たる,へだたる,n1
謙る,へりくだる,n1
経る,へる,n1
編,へん,n1
偏,へん,n1
変革,へんかく,n1
返還,へんかん,n1
偏見,へんけん,n1
返済,へんさい,n1
変遷,へんせん,n1
返答,へんとう,n1
変動,へんどう,n1
弁解,べんかい,n1
便宜,べんぎ,n1
弁護,べんご,n1
弁償,べんしょう,n1
弁論,べんろん,n1
ぺこぺこ,ぺこぺこ,n1
穂,ほ,n1
保育,ほいく,n1
倣,ほう,n1
法案,ほうあん,n1
崩壊,ほうかい,n1
法学,ほうがく,n1
放棄,ほうき,n1
宝器,ほうき,n1
封建,ほうけん,n1
豊作,ほうさく,n1
方策,ほうさく,n1
奉仕,ほうし,n1
方式,ほうしき,n1
放射,ほうしゃ,n1
放射能,ほうしゃのう,n1
報酬,ほうしゅう,n1
放出,ほうしゅつ,n1
報じる,ほうじる,n1
報ずる,ほうずる,n1
放置,ほうち,n1
法廷,ほうてい,n1
報道,ほうどう,n1
褒美,ほうび,n1
葬る,ほうむる,n1
放り込む,ほうりこむ,n1
放り出す,ほうりだす,n1
飽和,ほうわ,n1
保温,ほおん,n1
捕獲,ほかく,n1
保管,ほかん,n1
補給,ほきゅう,n1
補強,ほきょう,n1
保険,ほけん,n1
捕鯨,ほげい,n1
誇る,ほこる,n1
綻びる,ほころびる,n1
保護,ほご,n1
乾,ほし,n1
干し物,ほしもの,n1
保守,ほしゅ,n1
保障,ほしょう,n1
補償,ほしょう,n1
補充,ほじゅう,n1
補助,ほじょ,n1
舗装,ほそう,n1
補足,ほそく,n1
発作,ほっさ,n1
ほっと,ほっと,n1
頬っぺた,ほっぺた,n1
辺り,ほとり,n1
殆ど,ほとんど,n1
解く,ほどく,n1
施す,ほどこす,n1
保母,ほぼ,n1
保養,ほよう,n1
捕吏,ほり,n1
捕虜,ほりょ,n1
滅びる,ほろびる,n1
滅ぼす,ほろぼす,n1
本格,ほんかく,n1
本館,ほんかん,n1
本気,ほんき,n1
本質,ほんしつ,n1
本体,ほんたい,n1
本音,ほんね,n1
本の,ほんの,n1
本能,ほんのう,n1
本場,ほんば,n1
本文,ほんぶん,n1
本名,ほんみょう,n1
卯,ぼう,n1
防衛,ぼうえい,n1
防火,ぼうか,n1
妨害,ぼうがい,n1
紡績,ぼうせき,n1
呆然,ぼうぜん,n1
膨脹,ぼうちょう,n1
冒頭,ぼうとう,n1
暴動,ぼうどう,n1
暴風,ぼうふう,n1
暴力,ぼうりょく,n1
募金,ぼきん,n1
牧師,ぼくし,n1
母校,ぼこう,n1
没収,ぼっしゅう,n1
坊ちゃん,ぼっちゃん,n1
ぼつぼつ,ぼつぼつ,n1
没落,ぼつらく,n1
ぼやく,ぼやく,n1
ぼやける,ぼやける,n1
藍褸,ぼろ,n1
枚,まい,n1
埋蔵,まいぞう,n1
舞う,まう,n1
真上,まうえ,n1
前売り,まえうり,n1
前置き,まえおき,n1
前もって,まえもって,n1
任す,まかす,n1
負かす,まかす,n1
賄う,まかなう,n1
曲がる,まがる,n1
巻,まき,n1
紛らわしい,まぎらわしい,n1
紛れる,まぎれる,n1
膜,まく,n1
捲る,まくる,n1
真心,まこころ,n1
誠,まこと,n1
真に,まことに,n1
まごつく,まごつく,n1
正しく,まさしく,n1
正に,まさに,n1
勝る,まさる,n1
増し,まし,n1
真下,ました,n1
況して,まして,n1
交える,まじえる,n1
交わる,まじわる,n1
麻酔,ますい,n1
益々,ますます,n1
不味い,まずい,n1
股,また,n1
跨がる,またがる,n1
跨ぐ,またぐ,n1
瞬き,またたき,n1
待ち合わせ,まちあわせ,n1
間違う,まちがう,n1
待ち遠しい,まちどおしい,n1
待ち望む,まちのぞむ,n1
区々,まちまち,n1
末期,まっき,n1
真っ二つ,まっぷたつ,n1
的,まと,n1
纏まり,まとまり,n1
纏め,まとめ,n1
免れる,まぬかれる,n1
招き,まねき,n1
麻痺,まひ,n1
眩しい,まぶしい,n1
目蓋,まぶた,n1
間々,まま,n1
間もなく,まもなく,n1
眉,まゆ,n1
鞠,まり,n1
丸ごと,まるごと,n1
丸っきり,まるっきり,n1
丸で,まるで,n1
丸々,まるまる,n1
丸める,まるめる,n1
満月,まんげつ,n1
満場,まんじょう,n1
真ん中,まんなか,n1
真ん前,まんまえ,n1
真ん丸い,まんまるい,n1
三,み,n1
見合い,みあい,n1
見合わせる,みあわせる,n1
見落とす,みおとす,n1
未開,みかい,n1
味覚,みかく,n1
見掛ける,みかける,n1
三日月,みかずき,n1
見方,みかた,n1
見苦しい,みぐるしい,n1
見込み,みこみ,n1
未婚,みこん,n1
惨め,みじめ,n1
未熟,みじゅく,n1
微塵,みじん,n1
見すぼらしい,みすぼらしい,n1
見せびらかす,みせびらかす,n1
見せ物,みせもの,n1
満たす,みたす,n1
乱す,みだす,n1
乱れる,みだれる,n1
未知,みち,n1
導く,みちびく,n1
身近,みぢか,n1
密集,みっしゅう,n1
密接,みっせつ,n1
見っともない,みっともない,n1
蜜,みつ,n1
密度,みつど,n1
見積り,みつもり,n1
未定,みてい,n1
見通し,みとおし,n1
源,みなもと,n1
身なり,みなり,n1
峰,みね,n1
見逃す,みのがす,n1
見晴らし,みはらし,n1
身振り,みぶり,n1
見舞,みまい,n1
脈,みゃく,n1
未練,みれん,n1
見渡す,みわたす,n1
民主,みんしゅ,n1
民宿,みんしゅく,n1
民族,みんぞく,n1
民俗,みんぞく,n1
六,む,n1
無意味,むいみ,n1
向き,むき,n1
無口,むくち,n1
向け,むけ,n1
婿,むこ,n1
無効,むこう,n1
無言,むごん,n1
毟る,むしる,n1
無邪気,むじゃき,n1
結び,むすび,n1
結び付き,むすびつき,n1
結び付く,むすびつく,n1
結び付ける,むすびつける,n1
無線,むせん,n1
無駄遣い,むだづかい,n1
無断,むだん,n1
無知,むち,n1
無茶,むちゃ,n1
無茶苦茶,むちゃくちゃ,n1
空しい,むなしい,n1
無念,むねん,n1
無能,むのう,n1
無闇に,むやみに,n1
無用,むよう,n1
群がる,むらがる,n1
無論,むろん,n1
名産,めいさん,n1
名称,めいしょう,n1
命中,めいちゅう,n1
名簿,めいぼ,n1
名誉,めいよ,n1
明瞭,めいりょう,n1
明朗,めいろう,n1
目方,めかた,n1
恵み,めぐみ,n1
恵む,めぐむ,n1
目覚しい,めざましい,n1
目覚める,めざめる,n1
召す,めす,n1
雌,めす,n1
滅茶苦茶,めちゃくちゃ,n1
目付き,めつき,n1
滅亡,めつぼう,n1
愛でたい,めでたい,n1
目眩,めまい,n1
目盛,めもり,n1
面会,めんかい,n1
